Date,District,Price,year,month,cpi_monthly_avg,cpi_index,cum_price_level,population,pop_growth_rate,hcm_spatial_cost_index,real_price,population_millions,affordability_index
2017-01-03,District 1,90.7,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,90.7,95.176977,90.7
2017-01-04,District 1,91.55,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.55,95.176977,91.55
2017-01-05,District 1,92.88,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,92.88,95.176977,92.88
2017-01-06,District 1,88.72,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,88.72,95.176977,88.72
2017-01-09,District 1,91.3,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.3,95.176977,91.3
2017-01-10,District 1,91.75,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.75,95.176977,91.75
2017-01-11,District 1,88.64,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,88.64,95.176977,88.64
2017-01-12,District 1,92.75,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,92.75,95.176977,92.75
2017-01-13,District 1,90.64,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,90.64,95.176977,90.64
2017-01-16,District 1,91.76,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.76,95.176977,91.76
2017-01-17,District 1,88.75,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,88.75,95.176977,88.75
2017-01-18,District 1,90.63,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,90.63,95.176977,90.63
2017-01-19,District 1,91.22,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.22,95.176977,91.22
2017-01-23,District 1,92.23,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,92.23,95.176977,92.23
2017-01-24,District 1,92.02,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,92.02,95.176977,92.02
2017-01-25,District 1,91.4,2017,1,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,91.4,95.176977,91.4
2017-02-02,District 1,95.11,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,95.11,95.176977,95.11
2017-02-03,District 1,96.61,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,96.61,95.176977,96.61
2017-02-06,District 1,95.82,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,95.82,95.176977,95.82
2017-02-07,District 1,95.34,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,95.34,95.176977,95.34
2017-02-08,District 1,97.18,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.18,95.176977,97.18
2017-02-09,District 1,97.46,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.46,95.176977,97.46
2017-02-10,District 1,93.34,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,93.34,95.176977,93.34
2017-02-13,District 1,97.8,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.8,95.176977,97.8
2017-02-14,District 1,97.93,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.93,95.176977,97.93
2017-02-15,District 1,97.0,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.0,95.176977,97.0
2017-02-16,District 1,95.32,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,95.32,95.176977,95.32
2017-02-17,District 1,94.74,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,94.74,95.176977,94.74
2017-02-20,District 1,96.4,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,96.4,95.176977,96.4
2017-02-21,District 1,95.35,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,95.35,95.176977,95.35
2017-02-22,District 1,96.52,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,96.52,95.176977,96.52
2017-02-23,District 1,94.18,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,94.18,95.176977,94.18
2017-02-24,District 1,96.31,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,96.31,95.176977,96.31
2017-02-27,District 1,97.01,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.01,95.176977,97.01
2017-02-28,District 1,97.07,2017,2,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.07,95.176977,97.07
2017-03-01,District 1,99.93,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,99.93,95.176977,99.93
2017-03-02,District 1,97.06,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.06,95.176977,97.06
2017-03-03,District 1,98.08,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,98.08,95.176977,98.08
2017-03-06,District 1,97.87,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.87,95.176977,97.87
2017-03-07,District 1,100.1,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.1,95.176977,100.1
2017-03-08,District 1,97.42,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.42,95.176977,97.42
2017-03-09,District 1,98.96,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,98.96,95.176977,98.96
2017-03-10,District 1,100.05,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.05,95.176977,100.05
2017-03-13,District 1,99.31,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,99.31,95.176977,99.31
2017-03-14,District 1,100.33,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.33,95.176977,100.33000000000001
2017-03-15,District 1,100.95,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.95,95.176977,100.95
2017-03-16,District 1,101.68,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,101.68,95.176977,101.68000000000002
2017-03-17,District 1,101.1,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,101.1,95.176977,101.1
2017-03-20,District 1,101.04,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,101.04,95.176977,101.03999999999999
2017-03-21,District 1,100.96,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.96,95.176977,100.95999999999998
2017-03-22,District 1,99.7,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,99.7,95.176977,99.7
2017-03-23,District 1,99.46,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,99.46,95.176977,99.46
2017-03-24,District 1,101.92,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,101.92,95.176977,101.92000000000002
2017-03-27,District 1,100.84,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.84,95.176977,100.84
2017-03-28,District 1,98.54,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,98.54,95.176977,98.54
2017-03-29,District 1,100.65,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,100.65,95.176977,100.64999999999999
2017-03-30,District 1,101.49,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,101.49,95.176977,101.49
2017-03-31,District 1,97.48,2017,3,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,97.48,95.176977,97.48
2017-04-03,District 1,83.93,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.93,95.176977,83.93
2017-04-04,District 1,82.08,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.08,95.176977,82.08
2017-04-05,District 1,82.1,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.1,95.176977,82.1
2017-04-07,District 1,83.17,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.17,95.176977,83.17
2017-04-10,District 1,83.85,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.85,95.176977,83.85
2017-04-11,District 1,85.4,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,85.4,95.176977,85.4
2017-04-12,District 1,83.49,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.49,95.176977,83.49
2017-04-13,District 1,83.94,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.94,95.176977,83.94
2017-04-14,District 1,82.38,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.38,95.176977,82.38
2017-04-17,District 1,84.1,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,84.1,95.176977,84.1
